id,title,overview,genres,release_date,vote_average,vote_count,popularity,original_language
1650558,Abot Langit,"The relationship of a couple is tested when the girl’s first official flight pairs her with a confident senior pilot, jealousy and power dynamics surface in the training ground. The girl is now torn between her present relationship and new temptation she can’t resist.",['Romance'],2026-03-13,5.0,1,52.8701,tl
858024,Hamnet,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.","['Drama', 'Romance', 'History']",2025-11-26,7.7,1088,50.7815,en
157336,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"['Adventure', 'Drama', 'Science Fiction']",2014-11-05,8.468,39176,50.3228,en
1601243,Oscar Shaw,"After retiring from the police force, a relentless detective haunted by the tragic loss of his closest friend sets out on a perilous quest for vengeance, seeking redemption and fighting to restore justice to the streets he once swore to protect.","['Action', 'Crime', 'Thriller', 'Western']",2026-01-09,6.692,26,52.2424,en
991708,El Conde,"After living for over two centuries, Augusto Pinochet is a vampire ready to die… but the vultures around him won't let him go without one last bite.","['Fantasy', 'Comedy', 'Horror']",2023-09-07,6.157,338,44.366,es
337170,American Made,"The true story of pilot Barry Seal, who transported contraband for the CIA and the Medellin cartel in the 1980s.","['Action', 'Comedy', 'Crime', 'Drama']",2017-08-18,6.9,4904,44.4303,en
512850,Ošklivá princezna,"A fairy-tale comedy about how a king decided to marry off both of his daughters on the same day. Princess Zlata is a true beauty who has no shortage of suitors. Princess Pepička is less fortunate, as fate has blessed her with a good heart and a sharp mind, but has been stingy with beauty. And so the king decided to marry off his adult daughters at the same time and hold both weddings together.","['Family', 'Fantasy', 'TV Movie']",1999-10-17,0.0,0,52.0325,cs
634649,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.","['Action', 'Adventure', 'Science Fiction']",2021-12-15,7.933,21686,56.3859,en
12405,Slumdog Millionaire,"A teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","['Drama', 'Romance']",2008-11-12,7.729,11189,51.8122,en
1291608,Dhurandhar,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.","['Action', 'Crime', 'Thriller']",2025-12-05,6.95,219,55.6307,hi
